student_input,session_context,label,intent_name
can u repeat,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:75%,Lambda Functions:75%,Error Handling:49% | emotion:confused | pace:steady | slides:31,32,33",4,Repeat/clarification
This is so confsing it hutrs?,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:41%,Strings&Formatting:97% | emotion:engaged | pace:dragging | slides:45,46,47",2,Emotional-State
How much does a new car cost?,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:72%,Sets:37%,Functions&Scope:84% | emotion:neutral | pace:rushed | slides:36,37,38",1,Off-Topic Question
"I saw someone using For Loops, what does it do?","topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:39%,Strings&Formatting:96% | emotion:anxious | pace:dragging | slides:40,41,42",1,Off-Topic Question
slow,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:31%,Functions&Scope:58%,Lambda Functions:96% | emotion:confused | pace:dragging | slides:7,8,9",3,Pace-Related
Let me see that slide again.,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:97%,Lambda Functions:36%,Error Handling:53% | emotion:tired | pace:fast | slides:7,8,9",4,Repeat/clarification
"I'm confutilized, I feel so dumb right now.","topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:82%,If/Else Conditionals:41%,For Loops:91% | emotion:neutral | pace:rushed | slides:51,52,53",2,Emotional-State
say that more time,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:bored | pace:moderate | slides:13,14,15",4,Repeat/clarification
like show me,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:45% | emotion:confused | pace:steady | slides:54,55,56",0,On-Topic Question
SLOW DOWN,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:71%,Error Handling:82%,Classes&OOP:45% | emotion:tired | pace:dragging | slides:9,10,11",3,Pace-Related
SLOW DOWN,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:31%,Sets:83%,Functions&Scope:71% | emotion:neutral | pace:fast | slides:56,57,58",3,Pace-Related
I have no idea what's going on.,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:40%,Functions&Scope:49%,Lambda Functions:76% | emotion:focused | pace:fast | slides:41,42,43",2,Emotional-State
slow tf down,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:engaged | pace:dragging | slides:50,51,52",3,Pace-Related
Can you go back to the previous slide for a second?,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:65%,Error Handling:100%,Classes&OOP:35% | emotion:anxious | pace:fast | slides:24,25,26",4,Repeat/clarification
didn't get that,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:56%,Boolean Logic:53%,If/Else Conditionals:97% | emotion:excited | pace:normal | slides:30,31,32",4,Repeat/clarification
How do I fix car? my,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:44%,Arithmetic Operators:50%,Boolean Logic:49% | emotion:tired | pace:rushed | slides:18,19,20",1,Off-Topic Question
CAN WE SKIP THIS?,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:excited | pace:steady | slides:13,14,15",3,Pace-Related
too slow,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:87%,If/Else Conditionals:48%,For Loops:92% | emotion:frustrated | pace:dragging | slides:42,43,44",3,Pace-Related
Do we need to know about Classes and OOP?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:47%,Functions&Scope:67%,Lambda Functions:39% | emotion:overwhelmed | pace:dragging | slides:51,52,53",1,Off-Topic Question
next slide,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:79%,Lists&Tuples:48%,Dictionaries:58% | emotion:excited | pace:fast | slides:28,29,30",3,Pace-Related
let's goooo,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:bored | pace:fast | slides:34,35,36",2,Emotional-State
slow,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:35%,Sets:85%,Functions&Scope:67% | emotion:confused | pace:fast | slides:33,34,35",3,Pace-Related
im stuck on Error Handling (Try/Except),"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:96%,Functions&Scope:63%,Lambda Functions:34% | emotion:anxious | pace:dragging | slides:20,21,22",0,On-Topic Question
What if I fail?,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:67%,If/Else Conditionals:56%,For Loops:66% | emotion:frustrated | pace:dragging | slides:51,52,53",2,Emotional-State
I need to hear that explanation again.,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:40%,While Loops:67%,Lists&Tuples:93% | emotion:confused | pace:fast | slides:16,17,18",4,Repeat/clarification
"I saw someone using Lambda Functions, what does it do?","topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:40%,If/Else Conditionals:81%,For Loops:49% | emotion:confused | pace:moderate | slides:12,13,14",1,Off-Topic Question
What's Lambda Functions again?,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:51%,Sets:87%,Functions&Scope:96% | emotion:overwhelmed | pace:steady | slides:12,13,14",0,On-Topic Question
what am i doing wrong,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:frustrated | pace:slow | slides:24,25,26",0,On-Topic Question
what's your iq,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:78%,Functions&Scope:65%,Lambda Functions:90% | emotion:focused | pace:moderate | slides:29,30,31",1,Off-Topic Question
yay i did it,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:46%,While Loops:58%,Lists&Tuples:75% | emotion:bored | pace:moderate | slides:26,27,28",2,Emotional-State
run that baack,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:77%,Error Handling:50%,Classes&OOP:58% | emotion:frustrated | pace:steady | slides:11,12,13",4,Repeat/clarification
can we stop for a sec,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:86% | emotion:focused | pace:rushed | slides:32,33,34",3,Pace-Related
"I saw someone using File Handling, what does it do?","topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:31%,Sets:57%,Functions&Scope:62% | emotion:frustrated | pace:moderate | slides:32,33,34",1,Off-Topic Question
Cann youu re-explai how that works?,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:77%,While Loops:87%,Lists&Tuples:69% | emotion:overwhelmed | pace:steady | slides:24,25,26",4,Repeat/clarification
Is Dictionaries utilized a lot in real projects?,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:91%,While Loops:56%,Lists&Tuples:77% | emotion:engaged | pace:normal | slides:32,33,34",0,On-Topic Question
Is Error Handling (Try/Except) related to what we are doing now?,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:39%,Boolean Logic:61%,If/Else Conditionals:83% | emotion:engaged | pace:normal | slides:54,55,56",1,Off-Topic Question
hol up,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:97%,Dictionaries:38%,Sets:54% | emotion:confused | pace:dragging | slides:45,46,47",3,Pace-Related
skip this,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:80%,Functions&Scope:76%,Lambda Functions:87% | emotion:excited | pace:slow | slides:7,8,9",3,Pace-Related
actually what does that mean,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:57%,Strings&Formatting:94% | emotion:neutral | pace:rushed | slides:44,45,46",0,On-Topic Question
how is this useful,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:96%,If/Else Conditionals:36%,For Loops:53% | emotion:anxious | pace:normal | slides:31,32,33",0,On-Topic Question
what does this do,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:36%,If/Else Conditionals:80%,For Loops:77% | emotion:neutral | pace:rushed | slides:34,35,36",0,On-Topic Question
what am i doing wrong,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:64%,Dictionaries:46%,Sets:68% | emotion:confused | pace:steady | slides:56,57,58",0,On-Topic Question
whats the meaning of life,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:49%,Lists&Tuples:79%,Dictionaries:46% | emotion:anxious | pace:normal | slides:51,52,53",1,Off-Topic Question
how is this useful,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:79%,If/Else Conditionals:57%,For Loops:44% | emotion:bored | pace:rushed | slides:32,33,34",0,On-Topic Question
why am i getting an error,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:62%,Lambda Functions:51%,Error Handling:71% | emotion:tired | pace:steady | slides:21,22,23",0,On-Topic Question
this is impossible,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:41%,Error Handling:32%,Classes&OOP:36% | emotion:overwhelmed | pace:moderate | slides:58,59,60",2,Emotional-State
where are u from,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:73% | emotion:overwhelmed | pace:rushed | slides:27,28,29",1,Off-Topic Question
how is this useful,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:97%,Arithmetic Operators:46%,Boolean Logic:33% | emotion:overwhelmed | pace:moderate | slides:8,9,10",0,On-Topic Question
explain the code,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:92%,For Loops:56%,While Loops:68% | emotion:frustrated | pace:normal | slides:57,58,59",0,On-Topic Question
"Give me a sec, I'm still processing.","topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:67%,For Loops:79%,While Loops:57% | emotion:tired | pace:normal | slides:7,8,9",3,Pace-Related
Can you adjust the speed a bit?,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:64%,If/Else Conditionals:31%,For Loops:68% | emotion:overwhelmed | pace:moderate | slides:4,5,6",3,Pace-Related
Go back to that last point please.,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:99%,Dictionaries:34%,Sets:47% | emotion:confused | pace:slow | slides:54,55,56",4,Repeat/clarification
how old are you,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:57%,Arithmetic Operators:31%,Boolean Logic:48% | emotion:anxious | pace:slow | slides:33,34,35",1,Off-Topic Question
SORRY WHAT?,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:74%,Dictionaries:49%,Sets:54% | emotion:bored | pace:steady | slides:45,46,47",4,Repeat/clarification
what's the weather?,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:80%,Sets:79%,Functions&Scope:100% | emotion:tired | pace:rushed | slides:54,55,56",1,Off-Topic Question
don't rush through this please.,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:99%,Dictionaries:58%,Sets:98% | emotion:excited | pace:rushed | slides:25,26,27",3,Pace-Related
i need to hear that explanation again.,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:43%,Lambda Functions:61%,Error Handling:35% | emotion:anxious | pace:moderate | slides:15,16,17",4,Repeat/clarification
whats good,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:78% | emotion:excited | pace:normal | slides:6,7,8",1,Off-Topic Question
i feel so dumb?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:99%,Functions&Scope:100%,Lambda Functions:37% | emotion:neutral | pace:dragging | slides:8,9,10",2,Emotional-State
i am so mad right now,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:65%,While Loops:66%,Lists&Tuples:32% | emotion:focused | pace:dragging | slides:46,47,48",2,Emotional-State
can you show me with code,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:77%,While Loops:81%,Lists&Tuples:86% | emotion:focused | pace:rushed | slides:45,46,47",0,On-Topic Question
I feel like I'm not making any progress.,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:30%,Sets:45%,Functions&Scope:65% | emotion:excited | pace:steady | slides:54,55,56",2,Emotional-State
AGAIN?,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:92%,Lists&Tuples:91%,Dictionaries:100% | emotion:focused | pace:normal | slides:23,24,25",4,Repeat/clarification
whats ur name,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:59%,Arithmetic Operators:41%,Boolean Logic:54% | emotion:neutral | pace:steady | slides:4,5,6",1,Off-Topic Question
Can you help me with my homework? math,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:34%,While Loops:32%,Lists&Tuples:45% | emotion:anxious | pace:rushed | slides:6,7,8",1,Off-Topic Question
i didnt catch that,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:50%,Strings&Formatting:94%,Arithmetic Operators:53% | emotion:focused | pace:slow | slides:53,54,55",4,Repeat/clarification
when will we cover boolean logic!!,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:50%,Strings&Formatting:59% | emotion:focused | pace:slow | slides:20,21,22",1,Off-Topic Question
coud u repeat,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:34%,Strings&Formatting:91%,Arithmetic Operators:45% | emotion:anxious | pace:moderate | slides:38,39,40",4,Repeat/clarification
When will we cover File Handling?,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:74%,Dictionaries:44%,Sets:74% | emotion:bored | pace:moderate | slides:24,25,26",1,Off-Topic Question
no way,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:43%,Lambda Functions:84%,Error Handling:90% | emotion:tired | pace:rushed | slides:59,60,61",2,Emotional-State
who won the superbowl,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:51%,Arithmetic Operators:30%,Boolean Logic:36% | emotion:overwhelmed | pace:moderate | slides:19,20,21",1,Off-Topic Question
Can we skip this?,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:31%,If/Else Conditionals:35%,For Loops:100% | emotion:excited | pace:fast | slides:26,27,28",3,Pace-Related
What is the capital of France?,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:98% | emotion:frustrated | pace:normal | slides:55,56,57",1,Off-Topic Question
what's your iq?,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:58%,Dictionaries:93%,Sets:36% | emotion:frustrated | pace:dragging | slides:18,19,20",1,Off-Topic Question
can we go over that again,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:42%,Sets:80%,Functions&Scope:33% | emotion:anxious | pace:dragging | slides:51,52,53",4,Repeat/clarification
i am so mad right now,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:83%,Functions&Scope:99%,Lambda Functions:99% | emotion:excited | pace:slow | slides:6,7,8",2,Emotional-State
yo what,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:90%,If/Else Conditionals:40%,For Loops:89% | emotion:engaged | pace:rushed | slides:9,10,11",2,Emotional-State
Do we need to know about File Handling?,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:92%,Dictionaries:34%,Sets:90% | emotion:tired | pace:rushed | slides:10,11,12",1,Off-Topic Question
How long until we get to Classes and OOP?,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:55%,Sets:87%,Functions&Scope:91% | emotion:overwhelmed | pace:fast | slides:9,10,11",1,Off-Topic Question
"Wait, what was that?","topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:56%,Lists&Tuples:99%,Dictionaries:95% | emotion:excited | pace:slow | slides:47,48,49",4,Repeat/clarification
this sucks,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:73%,If/Else Conditionals:90%,For Loops:86% | emotion:frustrated | pace:fast | slides:8,9,10",2,Emotional-State
"Since I did well on Error Handling (Try/Except), is Classes and OOP going to be similar?","topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:51%,Lambda Functions:30%,Error Handling:77% | emotion:neutral | pace:slow | slides:57,58,59",0,On-Topic Question
pause pls,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:focused | pace:fast | slides:40,41,42",3,Pace-Related
my boolean logic code is broken,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:49%,Strings&Formatting:85%,Arithmetic Operators:47% | emotion:engaged | pace:fast | slides:33,34,35",0,On-Topic Question
umm bruh,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:30% | emotion:excited | pace:moderate | slides:57,58,59",2,Emotional-State
slow tff down,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:83%,Error Handling:49%,Classes&OOP:75% | emotion:anxious | pace:steady | slides:4,5,6",3,Pace-Related
pause pls,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:78%,Error Handling:70%,Classes&OOP:59% | emotion:overwhelmed | pace:fast | slides:39,40,41",3,Pace-Related
when will we cover lists and tuples?,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:39%,If/Else Conditionals:93%,For Loops:33% | emotion:neutral | pace:slow | slides:44,45,46",1,Off-Topic Question
repeat,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:78%,Error Handling:78%,Classes&OOP:35% | emotion:tired | pace:slow | slides:44,45,46",4,Repeat/clarification
i give up,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:37%,While Loops:82%,Lists&Tuples:70% | emotion:bored | pace:rushed | slides:9,10,11",2,Emotional-State
yo what,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:90%,If/Else Conditionals:80%,For Loops:91% | emotion:tired | pace:rushed | slides:48,49,50",2,Emotional-State
too slow,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:82%,Arithmetic Operators:84%,Boolean Logic:50% | emotion:focused | pace:normal | slides:11,12,13",3,Pace-Related
what am i doing wrong,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:61%,Functions&Scope:77%,Lambda Functions:55% | emotion:confused | pace:moderate | slides:5,6,7",0,On-Topic Question
why am i getting an issue,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:82%,Arithmetic Operators:70%,Boolean Logic:92% | emotion:confused | pace:steady | slides:34,35,36",0,On-Topic Question
whhat's hte diffrence,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:88%,Lambda Functions:46%,Error Handling:75% | emotion:confused | pace:steady | slides:26,27,28",0,On-Topic Question
How long until we get to If/Else Conditionals,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:74%,Strings&Formatting:34%,Arithmetic Operators:87% | emotion:frustrated | pace:dragging | slides:6,7,8",1,Off-Topic Question
I have no idea what's on. going,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:31%,Strings&Formatting:64%,Arithmetic Operators:30% | emotion:engaged | pace:moderate | slides:25,26,27",2,Emotional-State
smh,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:62%,Boolean Logic:78%,If/Else Conditionals:78% | emotion:engaged | pace:dragging | slides:51,52,53",2,Emotional-State
im crying,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:54%,If/Else Conditionals:84%,For Loops:35% | emotion:neutral | pace:steady | slides:27,28,29",2,Emotional-State
ur going too fast,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:48%,For Loops:93%,While Loops:40% | emotion:bored | pace:steady | slides:11,12,13",3,Pace-Related
my brain hurts,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:42%,Lambda Functions:97%,Error Handling:90% | emotion:confused | pace:steady | slides:48,49,50",2,Emotional-State
sorry what,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:39%,Strings&Formatting:61%,Arithmetic Operators:43% | emotion:excited | pace:rushed | slides:52,53,54",4,Repeat/clarification
show me,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:54%,Error Handling:74%,Classes&OOP:99% | emotion:confused | pace:fast | slides:30,31,32",0,On-Topic Question
hta iff I fail?,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:78%,Boolean Logic:56%,If/Else Conditionals:40% | emotion:tired | pace:moderate | slides:26,27,28",2,Emotional-State
who won the superbowl?,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:92%,Boolean Logic:46%,If/Else Conditionals:91% | emotion:anxious | pace:moderate | slides:25,26,27",1,Off-Topic Question
I feel anxious about falling behind.,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:89%,Arithmetic Operators:89%,Boolean Logic:80% | emotion:frustrated | pace:normal | slides:44,45,46",2,Emotional-State
can u break this down,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:tired | pace:dragging | slides:48,49,50",0,On-Topic Question
right rewind,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:81%,Arithmetic Operators:51%,Boolean Logic:36% | emotion:tired | pace:steady | slides:8,9,10",4,Repeat/clarification
again?,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:31%,For Loops:93%,While Loops:94% | emotion:excited | pace:fast | slides:45,46,47",4,Repeat/clarification
When will we cover Dictionaries?,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:45%,Strings&Formatting:51%,Arithmetic Operators:73% | emotion:bored | pace:slow | slides:51,52,53",1,Off-Topic Question
"i saw someone using file handling, what does it do?","topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:66%,Functions&Scope:69%,Lambda Functions:84% | emotion:bored | pace:normal | slides:16,17,18",1,Off-Topic Question
what does this line do,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:35%,Arithmetic Operators:40%,Boolean Logic:73% | emotion:focused | pace:steady | slides:7,8,9",0,On-Topic Question
this sucks?,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:36%,Dictionaries:92%,Sets:39% | emotion:bored | pace:rushed | slides:21,22,23",2,Emotional-State
say again?,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:67%,Lists&Tuples:61%,Dictionaries:73% | emotion:confused | pace:moderate | slides:53,54,55",4,Repeat/clarification
umm say what,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:67%,Strings&Formatting:80%,Arithmetic Operators:95% | emotion:tired | pace:slow | slides:48,49,50",4,Repeat/clarification
"I didn't understand, please say it again.","topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:83%,Arithmetic Operators:67%,Boolean Logic:92% | emotion:engaged | pace:fast | slides:32,33,34",4,Repeat/clarification
im confused about this part,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:48%,Functions&Scope:44%,Lambda Functions:53% | emotion:overwhelmed | pace:rushed | slides:35,36,37",0,On-Topic Question
My head hurts from all this information.,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:41%,For Loops:50%,While Loops:95% | emotion:focused | pace:dragging | slides:39,40,41",2,Emotional-State
what am i doing wrong,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:100%,For Loops:81%,While Loops:46% | emotion:confused | pace:steady | slides:56,57,58",0,On-Topic Question
i don't understand the example,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:65%,Dictionaries:64%,Sets:93% | emotion:frustrated | pace:dragging | slides:14,15,16",0,On-Topic Question
WHAT'S THE DIFFERENCE,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:85%,For Loops:71%,While Loops:54% | emotion:excited | pace:normal | slides:29,30,31",0,On-Topic Question
go over that again,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:63%,Lambda Functions:50%,Error Handling:72% | emotion:bored | pace:slow | slides:51,52,53",4,Repeat/clarification
pause pls?,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:73%,Lists&Tuples:33%,Dictionaries:40% | emotion:confused | pace:normal | slides:59,60,61",3,Pace-Related
i didnt catch that,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:34%,Strings&Formatting:42%,Arithmetic Operators:31% | emotion:tired | pace:slow | slides:38,39,40",4,Repeat/clarification
omg slow,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:66%,Lists&Tuples:82%,Dictionaries:65% | emotion:confused | pace:rushed | slides:15,16,17",3,Pace-Related
what does that mean,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:56%,Lists&Tuples:84%,Dictionaries:53% | emotion:tired | pace:fast | slides:12,13,14",0,On-Topic Question
For Loops is confusing,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:86%,Boolean Logic:46%,If/Else Conditionals:95% | emotion:excited | pace:fast | slides:9,10,11",0,On-Topic Question
Can we skip this?,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:frustrated | pace:steady | slides:48,49,50",3,Pace-Related
