student_input,session_context,label,intent_name
wut was the last thing u said,"topic:File Handling | prev:Classes and OOP | ability:N/A | emotion:overwhelmed | pace:slow | slides:18,19,20",4,Repeat/clarification
repeat that?,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:bored | pace:moderate | slides:38,39,40",4,Repeat/clarification
cud u break it down,"topic:While Loops | prev:For Loops | ability:N/A | emotion:focused | pace:steady | slides:17,18,19",4,Repeat/clarification
wut did u jus say,"topic:Lists and Tuples | prev:While Loops | ability:N/A | emotion:tired | pace:slow | slides:43,44,45",4,Repeat/clarification
can we go back to the loop topic?,"topic:Functions and Scope | prev:Sets | ability:N/A | emotion:frustrated | pace:dragging | slides:33,34,35",3,Pace-Related
i love pizza,"topic:File Handling | prev:Classes and OOP | ability:N/A | emotion:frustrated | pace:rushed | slides:7,8,9",1,Off-Topic Question
fortnite,"topic:Error Handling (Try/Except) | prev:Lambda Functions | ability:N/A | emotion:focused | pace:dragging | slides:48,49,50",1,Off-Topic Question
can u help me with my resume,"topic:Classes and OOP | prev:Error Handling (Try/Except) | ability:N/A | emotion:overwhelmed | pace:fast | slides:29,30,31",1,Off-Topic Question
cn u help me w/ this error,"topic:File Handling | prev:Classes and OOP | ability:N/A | emotion:confused | pace:moderate | slides:37,38,39",0,On-Topic Question
can u recomend a good movie,"topic:Arithmetic Operators | prev:Strings and Formatting | ability:N/A | emotion:neutral | pace:fast | slides:7,8,9",1,Off-Topic Question
can we speed thru this?,"topic:Functions and Scope | prev:Sets | ability:N/A | emotion:anxious | pace:moderate | slides:15,16,17",3,Pace-Related
i lost u,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:confused | pace:moderate | slides:32,33,34",4,Repeat/clarification
i need to catch up,"topic:If/Else Conditionals | prev:Boolean Logic | ability:N/A | emotion:neutral | pace:fast | slides:26,27,28",3,Pace-Related
wha,"topic:If/Else Conditionals | prev:Boolean Logic | ability:N/A | emotion:excited | pace:moderate | slides:23,24,25",4,Repeat/clarification
im all abt dat python life,"topic:Classes and OOP | prev:Error Handling (Try/Except) | ability:N/A | emotion:overwhelmed | pace:steady | slides:16,17,18",2,Emotional-State
HOW DO I HANDLE EXCEPTION,"topic:Lists and Tuples | prev:While Loops | ability:N/A | emotion:bored | pace:normal | slides:45,46,47",0,On-Topic Question
skip to the good part,"topic:For Loops | prev:If/Else Conditionals | ability:N/A | emotion:bored | pace:dragging | slides:7,8,9",3,Pace-Related
cud u show me agn,"topic:Classes and OOP | prev:Error Handling (Try/Except) | ability:N/A | emotion:neutral | pace:steady | slides:39,40,41",4,Repeat/clarification
how 2 import lib,"topic:File Handling | prev:Classes and OOP | ability:N/A | emotion:bored | pace:steady | slides:29,30,31",0,On-Topic Question
whats the best meme page on ig,"topic:Arithmetic Operators | prev:Strings and Formatting | ability:N/A | emotion:confused | pace:fast | slides:35,36,37",1,Off-Topic Question
can we take a break?,"topic:Functions and Scope | prev:Sets | ability:N/A | emotion:confused | pace:normal | slides:9,10,11",3,Pace-Related
loops got me like,"topic:For Loops | prev:If/Else Conditionals | ability:N/A | emotion:excited | pace:fast | slides:27,28,29",2,Emotional-State
im bored can we move on,"topic:Classes and OOP | prev:Error Handling (Try/Except) | ability:N/A | emotion:neutral | pace:rushed | slides:4,5,6",3,Pace-Related
tyring so hrd,"topic:Classes and OOP | prev:Error Handling (Try/Except) | ability:N/A | emotion:anxious | pace:dragging | slides:13,14,15",2,Emotional-State
FREAKING OUT RN,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:frustrated | pace:steady | slides:42,43,44",2,Emotional-State
nervs r gettin 2 me,"topic:Functions and Scope | prev:Sets | ability:N/A | emotion:bored | pace:normal | slides:26,27,28",2,Emotional-State
whats the best gadget,"topic:Classes and OOP | prev:Error Handling (Try/Except) | ability:N/A | emotion:engaged | pace:dragging | slides:22,23,24",1,Off-Topic Question
cud u repeat?,"topic:Error Handling (Try/Except) | prev:Lambda Functions | ability:N/A | emotion:anxious | pace:dragging | slides:41,42,43",4,Repeat/clarification
whats the best place to visit,"topic:Boolean Logic | prev:Arithmetic Operators | ability:N/A | emotion:excited | pace:fast | slides:9,10,11",1,Off-Topic Question
wut r loops 4,"topic:Lists and Tuples | prev:While Loops | ability:N/A | emotion:anxious | pace:moderate | slides:40,41,42",4,Repeat/clarification
whaaat?,"topic:Boolean Logic | prev:Arithmetic Operators | ability:N/A | emotion:overwhelmed | pace:normal | slides:9,10,11",4,Repeat/clarification
i just dont get it,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:anxious | pace:moderate | slides:27,28,29",2,Emotional-State
i didnt hear the end of that,"topic:Strings and Formatting | prev:Variables and Data Types | ability:N/A | emotion:anxious | pace:fast | slides:28,29,30",4,Repeat/clarification
wat is a generator,"topic:If/Else Conditionals | prev:Boolean Logic | ability:N/A | emotion:tired | pace:steady | slides:28,29,30",0,On-Topic Question
can we slow it down some more?,"topic:Error Handling (Try/Except) | prev:Lambda Functions | ability:N/A | emotion:confused | pace:moderate | slides:47,48,49",3,Pace-Related
i need a job,"topic:If/Else Conditionals | prev:Boolean Logic | ability:N/A | emotion:excited | pace:rushed | slides:6,7,8",1,Off-Topic Question
ive had enuf,"topic:While Loops | prev:For Loops | ability:N/A | emotion:confused | pace:normal | slides:17,18,19",2,Emotional-State
i keep gettin type error,"topic:Error Handling (Try/Except) | prev:Lambda Functions | ability:N/A | emotion:tired | pace:slow | slides:40,41,42",0,On-Topic Question
whats the best game to play,"topic:For Loops | prev:If/Else Conditionals | ability:N/A | emotion:frustrated | pace:fast | slides:42,43,44",1,Off-Topic Question
i need a break,"topic:Boolean Logic | prev:Arithmetic Operators | ability:N/A | emotion:focused | pace:steady | slides:17,18,19",3,Pace-Related
lowkey excited,"topic:Lambda Functions | prev:Functions and Scope | ability:N/A | emotion:overwhelmed | pace:slow | slides:23,24,25",2,Emotional-State
