student_input,session_context,label,intent_name
Is File Handling related to what we are doing now?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:99%,Lambda Functions:86%,Error Handling:80% | emotion:tired | pace:dragging | slides:40,41,42",1,Off-Topic Question
Is Classes and OOP used a lot in real projects?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:61%,Lambda Functions:54%,Error Handling:97% | emotion:confused | pace:fast | slides:57,58,59",0,On-Topic Question
How would I use Error Handling (Try/Except) in a project?,,0,On-Topic Question
"I'm confused, I feel so dumb right now.","topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:52%,Functions&Scope:52%,Lambda Functions:68% | emotion:tired | pace:moderate | slides:20,21,22",2,Emotional-State
"I understood If/Else Conditionals but While Loops feels completely different, why?","topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:33%,If/Else Conditionals:98%,For Loops:67% | emotion:focused | pace:fast | slides:42,43,44",0,On-Topic Question
pardon?,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:33%,If/Else Conditionals:55%,For Loops:33% | emotion:excited | pace:slow | slides:14,15,16",4,Repeat/clarification
im not getting Sets,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:96%,Lists&Tuples:65%,Dictionaries:66% | emotion:engaged | pace:steady | slides:37,38,39",0,On-Topic Question
sya that one more time,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:82% | emotion:neutral | pace:normal | slides:51,52,53",4,Repeat/clarification
move on,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:31%,Dictionaries:44%,Sets:78% | emotion:excited | pace:fast | slides:36,37,38",3,Pace-Related
next slide,,3,Pace-Related
sorry what,,4,Repeat/clarification
need i to hear that explanation again,,4,Repeat/clarification
what?,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:40%,If/Else Conditionals:69%,For Loops:57% | emotion:engaged | pace:dragging | slides:5,6,7",4,Repeat/clarification
let's goooo,,2,Emotional-State
"I saw someone using Lists and Tuplse, what does iit do?",,1,Off-Topic Question
i need to hear that explanation again.,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:54%,Dictionaries:75%,Sets:77% | emotion:anxious | pace:moderate | slides:36,37,38",4,Repeat/clarification
"I understood Functions and Scope but Error Handling (Try/Except) feels completely different, why?","topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:58%,Functions&Scope:62%,Lambda Functions:48% | emotion:frustrated | pace:fast | slides:36,37,38",0,On-Topic Question
actually i missed the last part,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:89%,Sets:98%,Functions&Scope:73% | emotion:engaged | pace:steady | slides:38,39,40",4,Repeat/clarification
This is confusing so it hurts.,,2,Emotional-State
whats good,,1,Off-Topic Question
too slow,,3,Pace-Related
When will we cover File Handling?,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:59%,Lists&Tuples:40%,Dictionaries:42% | emotion:anxious | pace:normal | slides:17,18,19",1,Off-Topic Question
"since i did well on strings and formatting, is arithmetic operators going to be similar?","topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:97%,Strings&Formatting:79% | emotion:focused | pace:rushed | slides:24,25,26",0,On-Topic Question
"Hold on, I'm still writing notes.",,3,Pace-Related
Can you show that example one more time?,,4,Repeat/clarification
sup,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:82%,Sets:68%,Functions&Scope:85% | emotion:overwhelmed | pace:dragging | slides:35,36,37",1,Off-Topic Question
actually say what,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:64%,If/Else Conditionals:81%,For Loops:80% | emotion:tired | pace:fast | slides:18,19,20",4,Repeat/clarification
When ill cover we For Loopps?,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:91% | emotion:tired | pace:moderate | slides:58,59,60",1,Off-Topic Question
what?,,4,Repeat/clarification
IS ERORR ANDLING (TRY/EXCEPT) RLEATED TO WHAT WE DOING ARE NOW?,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:79%,Boolean Logic:52%,If/Else Conditionals:100% | emotion:overwhelmed | pace:steady | slides:21,22,23",1,Off-Topic Question
"I lost you there, can you start over on that point?",,4,Repeat/clarification
pawork with,,3,Pace-Related
How long until we get to Classes and OOP?,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:90%,While Loops:50%,Lists&Tuples:74% | emotion:confused | pace:steady | slides:22,23,24",1,Off-Topic Question
well I have no idea what's going on.,,2,Emotional-State
can we stop for a sec,,3,Pace-Related
i feel smart!!,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:97%,For Loops:75%,While Loops:89% | emotion:frustrated | pace:slow | slides:8,9,10",2,Emotional-State
faster please?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:74%,Functions&Scope:82%,Lambda Functions:40% | emotion:focused | pace:dragging | slides:6,7,8",3,Pace-Related
i quit,,2,Emotional-State
I'm losing my patience.,,2,Emotional-State
??,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:excited | pace:moderate | slides:25,26,27",4,Repeat/clarification
what u mean,,4,Repeat/clarification
clarify the code,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:52%,Strings&Formatting:72% | emotion:engaged | pace:fast | slides:5,6,7",0,On-Topic Question
hello,,1,Off-Topic Question
smh,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:80%,Strings&Formatting:70% | emotion:frustrated | pace:slow | slides:59,60,61",2,Emotional-State
"Slow down, I'm still on the last example.",,3,Pace-Related
umm pardon?,,4,Repeat/clarification
pardon?,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:80% | emotion:bored | pace:dragging | slides:48,49,50",4,Repeat/clarification
honestly help me with my homework,,1,Off-Topic Question
Is Lists and Tuples something I'll use every day?,,0,On-Topic Question
"I love coding, this is fun!","topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:53%,Arithmetic Operators:65%,Boolean Logic:84% | emotion:confused | pace:moderate | slides:18,19,20",2,Emotional-State
hi,,1,Off-Topic Question
im stuck on Sets,,0,On-Topic Question
yo what,,2,Emotional-State
"i understood for loops but lists and tuples feels completely different, why?",,0,On-Topic Question
i don't understand the example,,0,On-Topic Question
Tell me mre baoutt Whle Loooss,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:79%,If/Else Conditionals:38%,For Loops:75% | emotion:neutral | pace:steady | slides:39,40,41",0,On-Topic Question
When will we cover Functions and Scope?,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:70%,For Loops:32%,While Loops:40% | emotion:frustrated | pace:steady | slides:32,33,34",1,Off-Topic Question
this is too hard,,2,Emotional-State
whats the capital of france,,1,Off-Topic Question
why am i getting an error,,0,On-Topic Question
pause,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:75%,While Loops:74%,Lists&Tuples:77% | emotion:anxious | pace:rushed | slides:4,5,6",3,Pace-Related
didn't get that,,4,Repeat/clarification
what's the difference,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:85%,Strings&Formatting:34% | emotion:tired | pace:slow | slides:51,52,53",0,On-Topic Question
stuck im on File Handling,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:53%,Error Handling:87%,Classes&OOP:42% | emotion:anxious | pace:steady | slides:9,10,11",0,On-Topic Question
faster please,,3,Pace-Related
is functions and scope related to what we are doing now?,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:84%,Arithmetic Operators:85%,Boolean Logic:96% | emotion:neutral | pace:fast | slides:17,18,19",1,Off-Topic Question
My head hurts from all this information.,,2,Emotional-State
slow,,3,Pace-Related
"I understood Arithmetic Operators but If/Else Conditionals feels completely different, why?","topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:36%,Arithmetic Operators:68%,Boolean Logic:59% | emotion:tired | pace:steady | slides:41,42,43",0,On-Topic Question
Go back to that last point please.,,4,Repeat/clarification
what was the last thing u said,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:31%,If/Else Conditionals:78%,For Loops:49% | emotion:frustrated | pace:fast | slides:6,7,8",4,Repeat/clarification
what happened?,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:42%,Lists&Tuples:76%,Dictionaries:69% | emotion:excited | pace:normal | slides:5,6,7",4,Repeat/clarification
Do we need to know about Classes and OOP?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:54%,Functions&Scope:39%,Lambda Functions:73% | emotion:neutral | pace:steady | slides:7,8,9",1,Off-Topic Question
Go back to that last point please.,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:42%,While Loops:38%,Lists&Tuples:54% | emotion:anxious | pace:rushed | slides:46,47,48",4,Repeat/clarification
hold on,,3,Pace-Related
honestly how does that work,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:90% | emotion:tired | pace:slow | slides:29,30,31",0,On-Topic Question
"I saw someone using Classes and OOP, what does it do?","topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:58%,While Loops:66%,Lists&Tuples:97% | emotion:engaged | pace:normal | slides:8,9,10",1,Off-Topic Question
I'm losing my patience.,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:85%,Lambda Functions:44%,Error Handling:71% | emotion:focused | pace:fast | slides:44,45,46",2,Emotional-State
i wasn't listening,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:71%,Lambda Functions:43%,Error Handling:35% | emotion:bored | pace:normal | slides:42,43,44",4,Repeat/clarification
slow t fdown?,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:84%,Strings&Formatting:74%,Arithmetic Operators:70% | emotion:overwhelmed | pace:normal | slides:50,51,52",3,Pace-Related
lost u there,,4,Repeat/clarification
smh,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:neutral | pace:moderate | slides:26,27,28",2,Emotional-State
I feel like I'm not making any progress,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:38%,Sets:80%,Functions&Scope:66% | emotion:excited | pace:moderate | slides:34,35,36",2,Emotional-State
chil for a se,,3,Pace-Related
Do we need to know about File Handling?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:46%,Lambda Functions:62%,Error Handling:47% | emotion:excited | pace:moderate | slides:41,42,43",1,Off-Topic Question
Let me see that slide again.,,4,Repeat/clarification
"i undertood fnctions nad scope but error haandlng (try/except) feels comletely different, h?y",,0,On-Topic Question
can we talk about something else,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:60%,Error Handling:79%,Classes&OOP:78% | emotion:anxious | pace:fast | slides:42,43,44",1,Off-Topic Question
"I think I got this, let's speed up.","topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:37%,Arithmetic Operators:61%,Boolean Logic:64% | emotion:bored | pace:normal | slides:32,33,34",3,Pace-Related
Can you re-run that example,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:100%,Strings&Formatting:64% | emotion:anxious | pace:slow | slides:28,29,30",4,Repeat/clarification
What is the capital of Frannce?,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:55%,Arithmetic Operators:56%,Boolean Logic:82% | emotion:engaged | pace:moderate | slides:54,55,56",1,Off-Topic Question
like I don' undersand anything.,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:81%,Lambda Functions:100%,Error Handling:76% | emotion:excited | pace:slow | slides:35,36,37",2,Emotional-State
i need a minute,,3,Pace-Related
why d we do this,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:78%,Error Handling:62%,Classes&OOP:31% | emotion:anxious | pace:moderate | slides:52,53,54",0,On-Topic Question
can you write an essay for me!!,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:70%,If/Else Conditionals:57%,For Loops:47% | emotion:tired | pace:steady | slides:27,28,29",1,Off-Topic Question
can we pause,,3,Pace-Related
im so tired,,2,Emotional-State
do u play games,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:33%,For Loops:57%,While Loops:78% | emotion:focused | pace:slow | slides:47,48,49",1,Off-Topic Question
My head hurts from all this information?,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:77%,Error Handling:79%,Classes&OOP:72% | emotion:frustrated | pace:normal | slides:37,38,39",2,Emotional-State
I feel completely stuck and confused.,,2,Emotional-State
yay i did it?,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:38%,For Loops:74%,While Loops:31% | emotion:engaged | pace:dragging | slides:47,48,49",2,Emotional-State
My head hurts all this information.,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:68%,Lambda Functions:87%,Error Handling:66% | emotion:bored | pace:fast | slides:38,39,40",2,Emotional-State
Is Lists and Tuples related to what we are doing now?,,1,Off-Topic Question
say what,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:60%,Lambda Functions:60%,Error Handling:79% | emotion:frustrated | pace:normal | slides:38,39,40",4,Repeat/clarification
what's the difference,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:51%,Strings&Formatting:35% | emotion:confused | pace:moderate | slides:39,40,41",0,On-Topic Question
say that one more time,,4,Repeat/clarification
can you say that again,,4,Repeat/clarification
hurry up,,3,Pace-Related
pause,,3,Pace-Related
Is Arithmettic Operatoors related to what we arre oding noww?,,1,Off-Topic Question
rewind,,4,Repeat/clarification
umm slow,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:48%,Boolean Logic:62%,If/Else Conditionals:44% | emotion:neutral | pace:steady | slides:8,9,10",3,Pace-Related
Can you re-explain how that works?,,4,Repeat/clarification
im hungry,,1,Off-Topic Question
hol up,,3,Pace-Related
whats ur name,,1,Off-Topic Question
huh,,4,Repeat/clarification
i quit,,2,Emotional-State
chill for a sec,,3,Pace-Related
Do we need to know about Lambda Functions?,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:98%,While Loops:60%,Lists&Tuples:84% | emotion:neutral | pace:normal | slides:54,55,56",1,Off-Topic Question
hey pardon?,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:68%,For Loops:100%,While Loops:93% | emotion:anxious | pace:normal | slides:49,50,51",4,Repeat/clarification
What's the point of Error Handling (Try/Except)?,,0,On-Topic Question
"umm Hold on, I'm still writing notes.",,3,Pace-Related
What's the point of For Loops?,,0,On-Topic Question
Is Classes and OOP related to what we are doing now?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:98%,Functions&Scope:54%,Lambda Functions:40% | emotion:excited | pace:rushed | slides:27,28,29",1,Off-Topic Question
Is Lambda Functions related to what we are doing now?,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:66%,Strings&Formatting:55%,Arithmetic Operators:56% | emotion:tired | pace:rushed | slides:44,45,46",1,Off-Topic Question
oone more time,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:59%,Functions&Scope:90%,Lambda Functions:86% | emotion:focused | pace:steady | slides:52,53,54",4,Repeat/clarification
walk me through the code,,0,On-Topic Question
Let me see that slide again.,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:71%,Lambda Functions:95%,Error Handling:71% | emotion:anxious | pace:normal | slides:9,10,11",4,Repeat/clarification
Can you re-run that example,,4,Repeat/clarification
huh?,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:93%,While Loops:100%,Lists&Tuples:98% | emotion:neutral | pace:rushed | slides:54,55,56",4,Repeat/clarification
what is dictionaries,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:35%,While Loops:41%,Lists&Tuples:78% | emotion:engaged | pace:slow | slides:43,44,45",0,On-Topic Question
say what,,4,Repeat/clarification
move on,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:82%,Arithmetic Operators:44%,Boolean Logic:86% | emotion:tired | pace:normal | slides:46,47,48",3,Pace-Related
sorry what,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:57%,Lambda Functions:76%,Error Handling:70% | emotion:overwhelmed | pace:rushed | slides:32,33,34",4,Repeat/clarification
let's goooo,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:30%,Sets:30%,Functions&Scope:93% | emotion:excited | pace:rushed | slides:48,49,50",2,Emotional-State
This is really starting to make sense!,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:53%,For Loops:35%,While Loops:65% | emotion:engaged | pace:slow | slides:42,43,44",2,Emotional-State
yo what,,2,Emotional-State
"since i did well on sets, is error handling (try/except) going to be similar?","topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:100%,Functions&Scope:39%,Lambda Functions:58% | emotion:excited | pace:dragging | slides:14,15,16",0,On-Topic Question
omg it works,,2,Emotional-State
Can you o back to the preeviou slidee fro a second,,4,Repeat/clarification
I'm lost.,,2,Emotional-State
can u break this down,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:84%,Functions&Scope:60%,Lambda Functions:49% | emotion:focused | pace:steady | slides:4,5,6",0,On-Topic Question
Can you show that example one more time?,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:75%,Arithmetic Operators:98%,Boolean Logic:88% | emotion:confused | pace:slow | slides:25,26,27",4,Repeat/clarification
how does Classes and OOP work,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:81%,Lambda Functions:91%,Error Handling:74% | emotion:focused | pace:steady | slides:29,30,31",0,On-Topic Question
smh,,2,Emotional-State
chill for a sec,,3,Pace-Related
too fast bro?,,3,Pace-Related
speed it up,,3,Pace-Related
let me see that slide again.,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:93%,Error Handling:95%,Classes&OOP:86% | emotion:neutral | pace:dragging | slides:22,23,24",4,Repeat/clarification
"Wait, what was that?",,4,Repeat/clarification
my Arithmetic Operators code is broken?,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:64%,Strings&Formatting:94% | emotion:excited | pace:moderate | slides:27,28,29",0,On-Topic Question
i feel msrat,,2,Emotional-State
one sec,,3,Pace-Related
hey wait a minute,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:55%,Functions&Scope:79%,Lambda Functions:47% | emotion:confused | pace:fast | slides:48,49,50",3,Pace-Related
what?,,4,Repeat/clarification
"I didn't understand, please say it again!!","topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:46% | emotion:confused | pace:moderate | slides:17,18,19",4,Repeat/clarification
How long until we get to Classes and OOP?,,1,Off-Topic Question
CAN YOU ADJUST THE SPEED A BIT?,,3,Pace-Related
Do we need to know about Lambda Functions?,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:68%,Dictionaries:31%,Sets:69% | emotion:anxious | pace:slow | slides:12,13,14",1,Off-Topic Question
honestly i hate this,,2,Emotional-State
Can we pick up the pace?,,3,Pace-Related
is dictionaries related to what we are doing now?,,1,Off-Topic Question
Tell me more about File Handling,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:36%,Error Handling:66%,Classes&OOP:65% | emotion:tired | pace:rushed | slides:50,51,52",0,On-Topic Question
didn't get that,,4,Repeat/clarification
can u break this down,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:97% | emotion:frustrated | pace:dragging | slides:22,23,24",0,On-Topic Question
huh? can you go over again?,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:35%,Lists&Tuples:90%,Dictionaries:84% | emotion:frustrated | pace:fast | slides:16,17,18",4,Repeat/clarification
Can you go back to the previous slide for a second?,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:100%,Arithmetic Operators:84%,Boolean Logic:41% | emotion:tired | pace:slow | slides:53,54,55",4,Repeat/clarification
Can you re-run that example?,,4,Repeat/clarification
What's the point of Lists and Tuples?,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:93%,For Loops:85%,While Loops:50% | emotion:tired | pace:slow | slides:39,40,41",0,On-Topic Question
i hate this,,2,Emotional-State
I'm so sleepy right now.,,2,Emotional-State
Is there a alternative way to write Lambda Functions?,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:96%,Sets:71%,Functions&Scope:76% | emotion:excited | pace:moderate | slides:41,42,43",0,On-Topic Question
did not hear you,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:70%,Strings&Formatting:39%,Arithmetic Operators:38% | emotion:neutral | pace:steady | slides:47,48,49",4,Repeat/clarification
"I understood While Loops but Dictionaries feels completely different, why?",,0,On-Topic Question
skip ahead please.,,3,Pace-Related
Is Boolean Logic related to what we are doing now?,,1,Off-Topic Question
"I didn't understand, please say it again.","topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:91%,Lambda Functions:97%,Error Handling:90% | emotion:engaged | pace:slow | slides:55,56,57",4,Repeat/clarification
I feel completely stuck and baffled.,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:excited | pace:normal | slides:49,50,51",2,Emotional-State
WHAT WAS THE LAST THING U SAID,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:51%,Dictionaries:100%,Sets:98% | emotion:neutral | pace:fast | slides:29,30,31",4,Repeat/clarification
hang on?,,3,Pace-Related
too slow?,,3,Pace-Related
i love coding,,2,Emotional-State
hol up,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:70%,Strings&Formatting:73% | emotion:neutral | pace:slow | slides:23,24,25",3,Pace-Related
one sec,,3,Pace-Related
How long until we get to While Loops,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:63%,Arithmetic Operators:52%,Boolean Logic:41% | emotion:overwhelmed | pace:rushed | slides:16,17,18",1,Off-Topic Question
im so tired,,2,Emotional-State
"Since I did well on If/Else Conditionals, is While Loops going to be similar?","topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:59%,If/Else Conditionals:52%,For Loops:74% | emotion:engaged | pace:fast | slides:15,16,17",0,On-Topic Question
can you explain this simply,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:30%,If/Else Conditionals:99%,For Loops:68% | emotion:tired | pace:rushed | slides:8,9,10",0,On-Topic Question
can we stop for a sec,,3,Pace-Related
Skip ahead please.,,3,Pace-Related
is there another way to do this,,0,On-Topic Question
hol up,,3,Pace-Related
do u play games,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:74%,Functions&Scope:86%,Lambda Functions:33% | emotion:excited | pace:normal | slides:55,56,57",1,Off-Topic Question
one sec,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:97%,If/Else Conditionals:53%,For Loops:90% | emotion:tired | pace:slow | slides:5,6,7",3,Pace-Related
this is too hard,,2,Emotional-State
"I lost you there, can you start over on that point?","topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:80%,Boolean Logic:66%,If/Else Conditionals:53% | emotion:engaged | pace:slow | slides:14,15,16",4,Repeat/clarification
Can you go back to the previous slide for a second?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:72%,Lambda Functions:71%,Error Handling:61% | emotion:engaged | pace:normal | slides:16,17,18",4,Repeat/clarification
faster please,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:79%,Lambda Functions:39%,Error Handling:84% | emotion:engaged | pace:slow | slides:8,9,10",3,Pace-Related
can u repeat,,4,Repeat/clarification
what happened?,,4,Repeat/clarification
This is really starting to make sense?,,2,Emotional-State
This is really starting to make sense!,,2,Emotional-State
basically one more time,,4,Repeat/clarification
Is If/Else Conditionals related to what we are doing now?,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:31%,Strings&Formatting:62% | emotion:overwhelmed | pace:steady | slides:34,35,36",1,Off-Topic Question
I feel overwhelmed by all this new stuff.,,2,Emotional-State
how do i write this?,,0,On-Topic Question
"Since I did well on Lambda Functions, is Error Handling (Try/Except) going to be similar",,0,On-Topic Question
??,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:74%,Error Handling:51%,Classes&OOP:88% | emotion:tired | pace:steady | slides:32,33,34",4,Repeat/clarification
yo what?,,2,Emotional-State
Can you re-explain how that works?,,4,Repeat/clarification
Is While Loops used a lot in real projects?,,0,On-Topic Question
is there another way to do this,,0,On-Topic Question
what does this line do,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:51%,Lists&Tuples:83%,Dictionaries:52% | emotion:overwhelmed | pace:fast | slides:21,22,23",0,On-Topic Question
hey what is For Loops,,0,On-Topic Question
can you explain this simply,,0,On-Topic Question
sorry what,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:84%,Functions&Scope:62%,Lambda Functions:86% | emotion:focused | pace:normal | slides:49,50,51",4,Repeat/clarification
what did i miss,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:89%,For Loops:45%,While Loops:43% | emotion:excited | pace:steady | slides:59,60,61",4,Repeat/clarification
