student_input,session_context,label,intent_name
"Sorry, I zoned out. What did you just say?","topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:70%,While Loops:86%,Lists&Tuples:60% | emotion:focused | pace:slow | slides:41,42,43",4,Repeat/clarification
I'm feeling super tired today.,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:40%,While Loops:33%,Lists&Tuples:41% | emotion:engaged | pace:slow | slides:15,16,17",2,Emotional-State
I am so frustrated right now.,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:47%,While Loops:43%,Lists&Tuples:97% | emotion:focused | pace:fast | slides:31,32,33",2,Emotional-State
so What's th best hpone to bu yrightt no?w,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:48% | emotion:engaged | pace:steady | slides:28,29,30",1,Off-Topic Question
I need a recap of what you just said.,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:39%,If/Else Conditionals:66%,For Loops:65% | emotion:bored | pace:dragging | slides:7,8,9",4,Repeat/clarification
Can you explain If/Else Conditionals again?,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:41%,Arithmetic Operators:35%,Boolean Logic:37% | emotion:neutral | pace:slow | slides:4,5,6",0,On-Topic Question
Go back to that last point please.,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:82%,Lambda Functions:87%,Error Handling:76% | emotion:anxious | pace:rushed | slides:53,54,55",4,Repeat/clarification
so Say that again?,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:32%,Boolean Logic:71%,If/Else Conditionals:51% | emotion:bored | pace:moderate | slides:21,22,23",4,Repeat/clarification
Can you adjust the speed a bit?,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:69%,Arithmetic Operators:100%,Boolean Logic:39% | emotion:engaged | pace:dragging | slides:33,34,35",3,Pace-Related
"Wait, can you slow down the explanation?","topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:70%,Strings&Formatting:68%,Arithmetic Operators:92% | emotion:overwhelmed | pace:rushed | slides:19,20,21",3,Pace-Related
"I heard about Dictionaries, can you explain it to me?","topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:78% | emotion:anxious | pace:moderate | slides:19,20,21",1,Off-Topic Question
Say that again?,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:94%,Boolean Logic:48%,If/Else Conditionals:77% | emotion:confused | pace:moderate | slides:44,45,46",4,Repeat/clarification
The pace feels about right.,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:30%,Lists&Tuples:42%,Dictionaries:67% | emotion:overwhelmed | pace:rushed | slides:43,44,45",3,Pace-Related
Can you go back to the previous slide for a second?,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:95%,Lists&Tuples:82%,Dictionaries:72% | emotion:excited | pace:fast | slides:45,46,47",4,Repeat/clarification
"I'm feeling hungry, should I order pizza?","topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:61%,For Loops:33%,While Loops:44% | emotion:confused | pace:slow | slides:51,52,53",1,Off-Topic Question
"This part is easy, let's go faster.","topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:58%,Lists&Tuples:75%,Dictionaries:60% | emotion:tired | pace:fast | slides:53,54,55",3,Pace-Related
What is Classes and OOP exactly?,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:99%,Dictionaries:63%,Sets:95% | emotion:engaged | pace:fast | slides:18,19,20",1,Off-Topic Question
Let me see that slide again.,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:64%,Strings&Formatting:41%,Arithmetic Operators:35% | emotion:tired | pace:dragging | slides:52,53,54",4,Repeat/clarification
"I love this coding, is fun!","topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:44%,Error Handling:96%,Classes&OOP:55% | emotion:excited | pace:rushed | slides:31,32,33",2,Emotional-State
Can we go slower a bit!!,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:bored | pace:rushed | slides:55,56,57",3,Pace-Related
WHAT'S THE MEANING OF LIFE?,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:55% | emotion:tired | pace:moderate | slides:12,13,14",1,Off-Topic Question
Go back to that last point please.,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:75%,Sets:79%,Functions&Scope:74% | emotion:focused | pace:fast | slides:44,45,46",4,Repeat/clarification
"My score on While Loops was not great, will I need it for Lists and Tuples?","topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:53%,For Loops:76%,While Loops:74% | emotion:overwhelmed | pace:slow | slides:31,32,33",0,On-Topic Question
Can we go through the next part faster?,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:71%,Strings&Formatting:95% | emotion:anxious | pace:fast | slides:48,49,50",3,Pace-Related
"My score on Lambda Functions was not great, will I need it for Error Handling (Try/Except)?","topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:66%,Functions&Scope:76%,Lambda Functions:63% | emotion:excited | pace:steady | slides:37,38,39",0,On-Topic Question
Is Sets hard to learn?,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:54%,While Loops:39%,Lists&Tuples:84% | emotion:bored | pace:fast | slides:47,48,49",1,Off-Topic Question
Can you help me with my math homework?,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:bored | pace:steady | slides:5,6,7",1,Off-Topic Question
"I didn't catch that, can you say it again?","topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:47%,Strings&Formatting:50% | emotion:neutral | pace:rushed | slides:41,42,43",4,Repeat/clarification
basically What are the best practices or Strrings and Formattng?,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:78% | emotion:confused | pace:rushed | slides:10,11,12",0,On-Topic Question
"I missed the firrst steep, ca you re-explan?","topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:69%,Arithmetic Operators:67%,Boolean Logic:30% | emotion:overwhelmed | pace:steady | slides:53,54,55",4,Repeat/clarification
"actually Wait, what was that?","topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:42%,While Loops:83%,Lists&Tuples:54% | emotion:engaged | pace:fast | slides:49,50,51",4,Repeat/clarification
"I missed the first step, can you re-walk me through?","topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:41%,For Loops:89%,While Loops:85% | emotion:frustrated | pace:fast | slides:52,53,54",4,Repeat/clarification
can you show me an example of arithmetic operators?,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:60%,Strings&Formatting:91% | emotion:tired | pace:normal | slides:21,22,23",0,On-Topic Question
"so Wait, what was that?","topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:48%,Strings&Formatting:65%,Arithmetic Operators:93% | emotion:confused | pace:normal | slides:41,42,43",4,Repeat/clarification
i think the pacing is off.,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:91%,Lists&Tuples:53%,Dictionaries:88% | emotion:bored | pace:moderate | slides:41,42,43",3,Pace-Related
Can you repeat that last part?,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:66%,Dictionaries:36%,Sets:97% | emotion:tired | pace:slow | slides:57,58,59",4,Repeat/clarification
I feel overwhelmed by all this new stuff.,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:56%,Boolean Logic:60%,If/Else Conditionals:72% | emotion:tired | pace:steady | slides:37,38,39",2,Emotional-State
"I'm confused, I feel so dumb right now.","topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:70%,Boolean Logic:87%,If/Else Conditionals:52% | emotion:neutral | pace:moderate | slides:51,52,53",2,Emotional-State
I'M NERVOUS ABOUT THE UPCOMING TEST.,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:90% | emotion:excited | pace:normal | slides:12,13,14",2,Emotional-State
Functions and Scope is confusing?,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:68%,Dictionaries:49%,Sets:39% | emotion:neutral | pace:normal | slides:57,58,59",0,On-Topic Question
Can we do something more interesting?,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:51%,For Loops:94%,While Loops:63% | emotion:overwhelmed | pace:slow | slides:11,12,13",2,Emotional-State
Can you show that example one more time?,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:69%,Error Handling:45%,Classes&OOP:100% | emotion:tired | pace:slow | slides:58,59,60",4,Repeat/clarification
"I'm confused, I feel so dumb right now.","topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:87%,Strings&Formatting:83% | emotion:frustrated | pace:steady | slides:18,19,20",2,Emotional-State
How does Functions and Scope relate to Classes and OOP?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:48%,Lambda Functions:51%,Error Handling:31% | emotion:confused | pace:slow | slides:43,44,45",0,On-Topic Question
I NEED TO HEAR THAT EXPLANATION AGAIN.,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:47%,If/Else Conditionals:91%,For Loops:45% | emotion:anxious | pace:dragging | slides:44,45,46",4,Repeat/clarification
Can we review For Loops briefly before diving deeper into While Loops?,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:42%,If/Else Conditionals:86%,For Loops:76% | emotion:engaged | pace:fast | slides:4,5,6",0,On-Topic Question
like I'm lost.,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:93% | emotion:focused | pace:dragging | slides:50,51,52",2,Emotional-State
Can we slow down a bit?,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:32%,Arithmetic Operators:42%,Boolean Logic:59% | emotion:focused | pace:moderate | slides:32,33,34",3,Pace-Related
Can we go through the next part faster?,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:65%,Arithmetic Operators:96%,Boolean Logic:95% | emotion:engaged | pace:moderate | slides:32,33,34",3,Pace-Related
"Please ease up, I can't keep up.","topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:56%,Strings&Formatting:88% | emotion:bored | pace:normal | slides:33,34,35",3,Pace-Related
Let me see that slide again.,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:62%,If/Else Conditionals:88%,For Loops:42% | emotion:focused | pace:steady | slides:56,57,58",4,Repeat/clarification
"I missed it, one more time please.","topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:45%,Strings&Formatting:39%,Arithmetic Operators:61% | emotion:focused | pace:normal | slides:13,14,15",4,Repeat/clarification
Can we review Functions and Scope briefly before diving deeper into Error Handling (Try/Except)?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:48%,Functions&Scope:64%,Lambda Functions:64% | emotion:tired | pace:steady | slides:40,41,42",0,On-Topic Question
I feel anxious about falling behind.,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:36%,Boolean Logic:74%,If/Else Conditionals:98% | emotion:overwhelmed | pace:fast | slides:52,53,54",2,Emotional-State
"I think I got this, let's speed up.","topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:78%,While Loops:88%,Lists&Tuples:31% | emotion:neutral | pace:normal | slides:43,44,45",3,Pace-Related
"hold on, i'm stilll writing notse.","topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:41%,If/Else Conditionals:87%,For Loops:99% | emotion:excited | pace:steady | slides:48,49,50",3,Pace-Related
well Come again?,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:51%,For Loops:48%,While Loops:84% | emotion:bored | pace:slow | slides:57,58,59",4,Repeat/clarification
Can you walk me through that once more?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:37%,Lambda Functions:73%,Error Handling:86% | emotion:frustrated | pace:fast | slides:50,51,52",4,Repeat/clarification
"I saw someone using Dictionaries, what does it do?","topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:58%,Strings&Formatting:85%,Arithmetic Operators:72% | emotion:overwhelmed | pace:normal | slides:58,59,60",1,Off-Topic Question
You aare ging way too fast.,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:52%,Boolean Logic:35%,If/Else Conditionals:38% | emotion:focused | pace:steady | slides:29,30,31",3,Pace-Related
How much a new car cost?,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:63%,Error Handling:72%,Classes&OOP:81% | emotion:bored | pace:dragging | slides:8,9,10",1,Off-Topic Question
I'm so sleepy right now,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:45%,Error Handling:41%,Classes&OOP:57% | emotion:tired | pace:fast | slides:23,24,25",2,Emotional-State
Can we skip this?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:48%,Functions&Scope:86%,Lambda Functions:77% | emotion:engaged | pace:slow | slides:45,46,47",3,Pace-Related
Can yyou hhelp me wit hmy maht homework?,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:80%,Dictionaries:68%,Sets:42% | emotion:tired | pace:normal | slides:17,18,19",1,Off-Topic Question
What's the difference between the two approaches you showed for Error Handling (Try/Except)?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:96%,Functions&Scope:85%,Lambda Functions:84% | emotion:overwhelmed | pace:normal | slides:54,55,56",0,On-Topic Question
Go back to that last point please.,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:90%,Lambda Functions:56%,Error Handling:85% | emotion:focused | pace:slow | slides:59,60,61",4,Repeat/clarification
What did you mean when you said Error Handling (Try/Except) works like that?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:52%,Functions&Scope:98%,Lambda Functions:47% | emotion:overwhelmed | pace:steady | slides:53,54,55",0,On-Topic Question
"Sorry, can you go over that again from the beginning?","topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:67%,Lambda Functions:86%,Error Handling:36% | emotion:focused | pace:rushed | slides:53,54,55",4,Repeat/clarification
Can you summarize what you just elaborate oned?,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:83%,Lists&Tuples:90%,Dictionaries:60% | emotion:tired | pace:dragging | slides:51,52,53",4,Repeat/clarification
I need to that hear explanation again.,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:90%,Dictionaries:96%,Sets:95% | emotion:tired | pace:normal | slides:29,30,31",4,Repeat/clarification
Help me with Functions and Scope,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:59%,Dictionaries:43%,Sets:71% | emotion:excited | pace:fast | slides:19,20,21",0,On-Topic Question
I feel stupid for not getting this.,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:neutral | pace:steady | slides:55,56,57",2,Emotional-State
I feel like giving up.,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:70%,While Loops:72%,Lists&Tuples:47% | emotion:excited | pace:normal | slides:45,46,47",2,Emotional-State
What did you mean when you said Variables and Data Types works like that?,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:tired | pace:rushed | slides:30,31,32",0,On-Topic Question
what were the key points of that last section?,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:38%,If/Else Conditionals:47%,For Loops:49% | emotion:anxious | pace:slow | slides:26,27,28",4,Repeat/clarification
Is there a different way to write Lambda Functions!!,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:83%,Sets:57%,Functions&Scope:55% | emotion:excited | pace:slow | slides:14,15,16",0,On-Topic Question
Can we slow down a bit?,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:92%,If/Else Conditionals:83%,For Loops:73% | emotion:bored | pace:moderate | slides:21,22,23",3,Pace-Related
Can you give me a sneak peek of Classes and OOP?,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:98%,Strings&Formatting:57%,Arithmetic Operators:66% | emotion:engaged | pace:dragging | slides:35,36,37",1,Off-Topic Question
Can you repeat the rule ofrr that?,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:57%,For Loops:65%,While Loops:69% | emotion:anxious | pace:slow | slides:29,30,31",4,Repeat/clarification
Ifeel ike I'm nnot making any progress.,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:engaged | pace:fast | slides:41,42,43",2,Emotional-State
Could you run through the explanation one more time?,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:81%,Strings&Formatting:37% | emotion:excited | pace:slow | slides:23,24,25",4,Repeat/clarification
Can we take a break!!,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:58%,Functions&Scope:50%,Lambda Functions:73% | emotion:tired | pace:slow | slides:49,50,51",3,Pace-Related
How many more slides do we have?,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:anxious | pace:steady | slides:38,39,40",3,Pace-Related
I am so frustrated right now.,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:anxious | pace:slow | slides:51,52,53",2,Emotional-State
Skip ahead please.,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:55%,While Loops:32%,Lists&Tuples:45% | emotion:anxious | pace:dragging | slides:9,10,11",3,Pace-Related
How many more slides do we have?,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:89% | emotion:tired | pace:fast | slides:23,24,25",3,Pace-Related
What time is it?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:84%,Lambda Functions:99%,Error Handling:47% | emotion:confused | pace:fast | slides:7,8,9",1,Off-Topic Question
I'm losing my patience.,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:49%,For Loops:90%,While Loops:87% | emotion:neutral | pace:normal | slides:13,14,15",2,Emotional-State
Tell me more about Variables and Data Types,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:engaged | pace:rushed | slides:47,48,49",0,On-Topic Question
I don't get the part about While Loops.,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:32%,If/Else Conditionals:87%,For Loops:51% | emotion:neutral | pace:slow | slides:56,57,58",0,On-Topic Question
Are we on schedule?,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:86%,Strings&Formatting:48%,Arithmetic Operators:62% | emotion:excited | pace:rushed | slides:40,41,42",3,Pace-Related
We're spending too long on this.,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:44%,For Loops:31%,While Loops:50% | emotion:excited | pace:normal | slides:17,18,19",3,Pace-Related
Is there a different way to write Classes and OOP?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:57%,Lambda Functions:51%,Error Handling:58% | emotion:engaged | pace:rushed | slides:17,18,19",0,On-Topic Question
Can you wait a second before moving to the next slide?,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:47%,Boolean Logic:66%,If/Else Conditionals:81% | emotion:bored | pace:fast | slides:59,60,61",3,Pace-Related
"I'm feeling hungry, should I order pizza?","topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:96%,If/Else Conditionals:80%,For Loops:65% | emotion:engaged | pace:rushed | slides:47,48,49",1,Off-Topic Question
Can take a break?,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:100%,Boolean Logic:80%,If/Else Conditionals:39% | emotion:neutral | pace:moderate | slides:26,27,28",3,Pace-Related
Everyone else seems to get it except me.,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:anxious | pace:slow | slides:32,33,34",2,Emotional-State
actually Can you summarize what you just explained?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:57%,Functions&Scope:48%,Lambda Functions:72% | emotion:focused | pace:steady | slides:51,52,53",4,Repeat/clarification
Can you show that example one more time?,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:92%,Error Handling:50%,Classes&OOP:91% | emotion:frustrated | pace:fast | slides:5,6,7",4,Repeat/clarification
How much time do we have left?,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:33%,Dictionaries:88%,Sets:61% | emotion:focused | pace:dragging | slides:22,23,24",3,Pace-Related
Could you clarify what you meant?,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:81%,Strings&Formatting:81% | emotion:engaged | pace:fast | slides:12,13,14",4,Repeat/clarification
What was the syntax you just showed?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:93%,Functions&Scope:83%,Lambda Functions:79% | emotion:frustrated | pace:moderate | slides:8,9,10",4,Repeat/clarification
My eyes are glazing over.,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:89%,If/Else Conditionals:35%,For Loops:34% | emotion:frustrated | pace:moderate | slides:14,15,16",2,Emotional-State
I'm nervous about the upcoming test.,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:49%,Lambda Functions:91%,Error Handling:34% | emotion:excited | pace:moderate | slides:31,32,33",2,Emotional-State
"I mmisssed it, one more time peas.","topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:70%,Lists&Tuples:100%,Dictionaries:69% | emotion:confused | pace:fast | slides:50,51,52",4,Repeat/clarification
Is Lambda Functions related to what we are doing now?,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:99%,If/Else Conditionals:49%,For Loops:50% | emotion:focused | pace:moderate | slides:56,57,58",1,Off-Topic Question
I'm because frustrated this used to make sense.,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:30%,Error Handling:50%,Classes&OOP:30% | emotion:confused | pace:fast | slides:24,25,26",2,Emotional-State
I NEED HELP UNDERSTANDING LISTS AND TUPLES,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:52%,For Loops:89%,While Loops:88% | emotion:overwhelmed | pace:fast | slides:52,53,54",0,On-Topic Question
Can you show me a more advanced use of Sets,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:31%,Lists&Tuples:42%,Dictionaries:82% | emotion:bored | pace:normal | slides:43,44,45",0,On-Topic Question
go back to that last point please.,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:34%,Lists&Tuples:49%,Dictionaries:97% | emotion:engaged | pace:normal | slides:28,29,30",4,Repeat/clarification
Nothing makes sense to me.,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:92%,Strings&Formatting:50%,Arithmetic Operators:44% | emotion:focused | pace:fast | slides:48,49,50",2,Emotional-State
What was syntax you just showed?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:77%,Functions&Scope:67%,Lambda Functions:99% | emotion:tired | pace:dragging | slides:8,9,10",4,Repeat/clarification
Can you break Variables down and Data Types step by step?,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:confused | pace:slow | slides:40,41,42",0,On-Topic Question
Can you debug this Arithmetic Operators example with me?,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:99%,Strings&Formatting:84% | emotion:neutral | pace:slow | slides:23,24,25",0,On-Topic Question
can i combine sets with what we learned earlier?,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:32%,Lists&Tuples:46%,Dictionaries:56% | emotion:anxious | pace:fast | slides:11,12,13",0,On-Topic Question
Can you show me a more advanced use of Arithmetic Operators?,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:42%,Strings&Formatting:95% | emotion:excited | pace:rushed | slides:22,23,24",0,On-Topic Question
I don't get the part about Arithmetic Operators.,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:95%,Strings&Formatting:61% | emotion:confused | pace:dragging | slides:25,26,27",0,On-Topic Question
"I did'nt catch that, you say it again?","topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:65%,Functions&Scope:90%,Lambda Functions:74% | emotion:excited | pace:dragging | slides:56,57,58",4,Repeat/clarification
"i didn't follow, please say it again.","topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:67% | emotion:neutral | pace:fast | slides:26,27,28",4,Repeat/clarification
actually How long until we get to File Handling?,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:70%,Lists&Tuples:61%,Dictionaries:95% | emotion:frustrated | pace:moderate | slides:45,46,47",1,Off-Topic Question
Can we pause for a minute?,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:86%,Arithmetic Operators:43%,Boolean Logic:66% | emotion:confused | pace:slow | slides:20,21,22",3,Pace-Related
What were the key points of that last section,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:engaged | pace:rushed | slides:35,36,37",4,Repeat/clarification
Why is this so hard,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:36%,While Loops:82%,Lists&Tuples:53% | emotion:focused | pace:fast | slides:46,47,48",2,Emotional-State
"Wait, what that?","topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:83%,Lists&Tuples:30%,Dictionaries:50% | emotion:excited | pace:rushed | slides:38,39,40",4,Repeat/clarification
